字段1_文本,字段3
简报：中国经济走到十字路口；如何培养男子汉？,马云“共产党员”身份曝光；中国外逃官员美籍子女被限制出境；中国正建造第三艘航母；美连环杀手自供犯下90起谋杀；苹果股价持续走低……新闻简报带你速览今日要闻。
简报：中国如何控制公民；台湾选举民进党大败,北京新机场彰显中国的实力和弱点；欧盟批准英国脱欧协议草案；港珠澳大桥大陆观光客引争议；朝韩计划连接铁路；为什么摆脱煤炭这么难……新闻简报带你速览今日要闻。
中国和日本，谁在靠近谁？,"时隔7年，日本首相安倍晋三本周将对中国进行正式访问。经过多年的挣扎与不信任，两国为何在眼下这个节点试图改善双方关系？日方为何自认为这次可能占有谈判优势？ 
"
特朗普与习近平：两个强势领袖如何正面交锋,与特朗普的会面将考验习近平的政治才能。为了在国内巩固强人领袖的形象，他必须表现得足够强势与坚定。但特朗普不好对付，中美之间的矛盾也格外棘手。
驻华记者出身的白宫高参将出席中美峰会,习近平会见特朗普时，白宫亚洲政策顾问波廷格也将在场。波廷格曾在中国做记者。他回忆说：中国经历让他看到一个非民主国家能对它的公民做些什么。
“特朗普风险” 能让日本和中国拉近距离？,特朗普外交上的不确定性令亚太笼罩在焦虑中，因为台湾、朝核问题的变数，日中恐怕都面临战略调整。面对特朗普，日中究竟是战略竞争升级，还是有了共同语言和共同利益？
TPP搁浅成定局，中国成最大赢家,TPP是奥巴马“重返亚洲”战略的重点，意在遏制中国不断增长的野心。特朗普当选后TPP已成一纸空文，亚太各国纷纷转向，寻求与中国签订自贸协定。
北京就台湾问题放狠话，特朗普也不示弱,《人民日报》海外版周一发出警告，称给中国找麻烦就等于自找麻烦。特朗普的态度也没有缓和。他在周日发推文，继续在贸易和南海问题上抨击中国。
特朗普当选总统，美国的对手笑了,普京和习近平第一时间向特朗普发去贺电。从中俄立场来看，西方的衰落是它们的机遇，而且这些国家在人权自由方面受到美国批评，现在它们可以嘲笑美国了。
55亿美元的华丽梦想：米老鼠来到中国,迪士尼乐园终于来到了中国。为了这个东方市场，迪士尼极力迎合中国政府和消费者。上海开业庆典上下着雨，中国副总理汪洋说：“下的是美元和人民币”。
习近平和他的核心集团,习近平政府似乎是中共60多年来最难以揣测的。习本人大权独揽，各部官僚只能辅助而已。决策集中于少数心腹组成的核心集团。
这一次，奥巴马怎样对付习近平？,习近平远比很多白宫官员预想得更强硬。奥巴马应该针锋相对，摆明立场，还是淡化冲突？两种策略他都尝试过，效果不尽理想。
令计划之弟潜逃美国，或寻求政治庇护,中国正向美国施压，要求遣返令完成，奥巴马政府至今未予同意。鉴于他可能掌握中国高层机密，如果令完成申请政治庇护，将是美国情报机构的巨大收获。
中国挑战：一位美国前内阁官员的视角,普林斯顿教授柯庆生曾在布什政府担任副助理国务卿，负责亚太事务。他在《中国挑战》一书中认为，美国应该接受甚至鼓励中国崛起，学会管理（而非解决）中美外交问题。
邓小平外孙女婿名下企业买下华尔道夫酒店,40年前，首次访美的邓小平下榻纽约华尔道夫酒店，并在此与基辛格把酒言欢。而今，中国安邦保险斥20亿美元巨资买下这座豪华酒店。这家企业由邓小平外孙女婿吴小晖掌管。
我在哈佛见识的中国高材生,在研究中国的美国学者面前，一些留学哈佛的中国学生表现得不仅谦卑，甚至有些自卑。他们应该看清自己的优势，勇于独立思考、表达，而不是满足于给美国学者当情报员。
四部美剧禁播，新政浮出水面,上周末中国视频网站上《生活大爆炸》等四部热门美剧被禁播。多年来审查机构对视频播放海外剧的审查相对宽松，如今开始酝酿一系列措施，全面收紧在这一领域内的控制。
奥巴马“转向亚洲”战略内外受阻,奥巴马周二开始亚洲之行，将试图重申美国在亚洲的军事存在。国内的政治压力及全球地区危机让他的战略转向一直难以施行。
米歇尔·奥巴马访京亲近中国文化,美国第一夫人在彭丽媛陪同下，开始了她对中国的友好之旅。她们参观了北京一所知名高中和故宫，严格安排的行程让气氛略显呆板。
东海和南海形成“新常规”,中国外交新政策表明，它希望让美国和周边国家在心理上逐渐适应它作为地区强国的崛起。但中美在周边海域危机预防机制的缺乏很可能导致各方难以承受的后果。
中国向外媒施压迫使拜登出言警告,中国似乎准备在年底前迫使20多名美国驻华记者离开中国，外国媒体所受压力显著增加，致使美国政府首次对相关后果提出公开警告。
黑客频频攻击美国大学,美国的研究型大学正在遭受越来越多的网络攻击，大部分攻击被怀疑来自中国。各学校被迫加强安全防御，有些学校甚至要求教职工不要带电脑和手机出境。
斯诺登抵达俄罗斯，拟前往厄瓜多尔政治避难,美国通缉的揭秘者斯诺登周日自香港飞抵莫斯科。美国曾要求香港引渡斯诺登，并在此前一天宣布斯诺登护照作废。香港当局称美方未满足港方抓人的司法要求。
中美在网络安全方面仍有分歧,习近平和奥巴马在加州非正式会谈中，就朝鲜无核化及降低氢氟烃排放等议题达成了共识，但在网络攻击、对台军售、南海争端及汇率操控方面仍存分歧。
“习奥会”达成中美合作总体共识,中美领导人说，他们在加州会晤中，就国际安全和经济关系等议题达成了重要共识。但要将这些总体共识变为具体合作，还需时日。“习奥会”虽属非正式，但仍遵循了主要外交仪轨，只是省去了领带。
中美加州峰会意在建立私人友谊,中美元首希望在非正式场合来一次深入交流，建立私人感情，也为增进两国互信。奥巴马和习近平的加州会晤也许就是这样一次安排。
经济改革停滞了吗？是什么倒逼习近平求变,作者认为，今年中国会开启一些多年来不曾推进或推进不下去的改革，这虽然与习近平的个人愿望有关，但还有一些更大的推进因素。
郭文贵，逼迫中国做出让步的流亡者,过去几个月中，流亡美国的亿万富翁郭文贵把Twitter当作扩音器，对中国官员提出贪腐指控。然而此前高调打压郭文贵的中国政府，突然间作出了让步……
吃不吃特朗普的巧克力蛋糕？中日如何不被利用,中日两国元首先后与特朗普完成了会面，后者对于美国与这两个国家的贸易关系也都施加了压力。日本和中国是否有可能就“特朗普风险”进行合作呢？
美国警惕在吉布提的新邻居：中国军事基地,专家称该基地标志着北京日益扩大的野心，及对美国军事主导地位的潜在影响。美国战略人士担忧美军受到监视，并怀疑吉布提与华盛顿的盟友关系能否长久。
日韩达成慰安妇协议对中国意味着什么？,日本与韩国各自出于战略务实的考虑，就慰安妇问题达成协议。这个历史突破是在美国的介入与持续施压下实现的，也可以放在美日韩同盟的背景下解读。中国对此做何感想？
周恩来的逝世留给中国一个不确定的未来,1976年1月8日，周恩来在北京逝世。中国正在努力挣脱文革深渊，向着稳定与经济发展的道路走去。中国未来的领导人究竟会是谁？他们将把中国引向何方？
解读习近平的党国民族主义,习近平上台以来，中国民族主义情绪在民间的自发表达受到更多压制，代之以自上而下的官方表达。政府担心草根运动会威胁稳定。康奈尔大学的白洁曦就研究了中国的民族主义。
跟随华语电影游纽约,无论是蜚声全球的地标，还是不起眼的角落，纽约在华语影视作品里呈现出异常丰富的内涵。跟随这些作品畅游纽约，让银幕传奇与眼前景观融汇在一起，体会其中的传承与变化，不失为一桩乐事。
与弗里德曼对谈：中美才是“一国两制”关系,中国与美国深度相互依存，又及其缺乏互信；美国有生机勃勃的底层社会，中国有雄心勃勃的顶层设计，但那种设计能有多少回报？
奥巴马“重返亚洲”：国际政治中的“刻奇”,奥巴马任内高调提出“重返亚洲”，实际并未改变中国在周边地区影响力上升，更富扩张性的态势。“重返亚洲”在日本和东南亚引发共鸣，更像是“刻奇”带来的廉价感动。
香港舞蹈家曹诚渊：现代舞不对抗,中港两地对抗情绪渐涨的情况下，香港舞蹈家曹诚渊希望借由现代舞展示香港文化纯粹一面，并认为香港的发展与整个中国紧密连接，现代艺术的意义是沟通，而非对抗。
中国复兴之路，一次持续两百年的长征,中国通夏伟和鲁乐汉在新书《富强：中国通往21世纪的长征》中认为，中国的近现代史像是一系列琐碎的独幕剧，而对复兴的追求一直处于中国政治和学术思想的核心。
毛泽东讣告（四）：从星星之火到最长的巅峰,毛建立了极富个人色彩的党和政权。此后他在好战和现实主义间摇摆，中国的发展也随之迂回曲折。文革则是他人生中最长的一次巅峰，凝聚了他青睐的所有主题。
改变中国历史轨迹的邓小平,本文是时报发表于1997年的长篇讣文，总结了邓小平的政治生涯和他带给20世纪中国的深远影响。邓小平逝世20周年之际，中文网特将此文再次刊出。
