字段2,字段3
"
台湾双十国庆当天中共军机再进入台湾西南防空识别区
",蔡英文总统在发表国庆演中以“团结台湾，自信前行”为主题，除了强调台湾的防疫成果，还特别将“台美经济”合作列为重点之一，显示台湾政府继续在外交上与美国亲近的战略... 蔡英文说，只要北京当局有心化解对立，改善两岸关系，在符合对等尊严的原则下，台湾愿意共同促成有意义的对话... 
"
美海关继续扣查来自新疆被怀疑涉及强制劳动及真人发的进口发制品
",美国海关和边境保护局在一份声明中表示，下达暂扣令是因为“有信息合理地表明”产品的生产使用了监狱劳工且存在强迫劳动的情况，他们遭遇了过度加班、工资被扣以及行动受限等境遇... 指示美国证劵交易委员会（SEC）要求在美国的上市公司必须披露其在新疆地区的业务营运、往来及生产供应链细节，包括其产品是否通过强迫劳动制造或生产过程是否与新疆维吾尔拘禁营有任何关系
"
蔡英文国庆演说：只要北京有心化解对立 愿共同促成有意义对话
",台湾总统蔡英文星期六以“团结台湾，自信前行”为题发表国庆演说... 他说：“选举前她极力高举联美抗中的大旗，选后她现在说一些软的话，随着选举而调整，但是也不可能让两岸有交集的地步... 蔡英文总统在演说中还提到，在全球高度关注印太及两岸局势变化的重要时刻，北京如果能正视台湾的声音，改变处理两岸关系的态度，和台湾共同促成和解及和平对话，相信一定可以化解区域的紧张局势... 
"
蓬佩奥：美已组建对抗中共威胁的联盟，台湾问题是与中共的“冲突点”
",他希望这个模式能够机构化... 这位国务卿还敦促梵蒂冈为在中国所有受到宗教压制的人... 是否是事实上针对中国的“小北约”的问题时说，特朗普政府已经开始在整个亚洲建立一系列的关系，使得他们能够挑战中国共产党，而美、日、澳、印四大民主国家之间的关系是实现这一目标的工具之一... 北京通过举行军事演习以及派遣军机飞越台海中线等举动引发了台海关系的紧张以及美中两国因台湾而爆发战争的担忧... 
"
中国外长王毅出访东盟四国 将与柬埔寨签署自贸协定
",柬埔寨外交与国际合作部星期五(10月9日)在一份声明中说，王毅在10月11日-12日访问柬埔寨期间，将会对柬埔寨首相洪森进行礼节性的拜访，并与副首相兼外交大臣布拉索昆以及其他高级... 美中两国都力图加强与东盟的关系... 美国驻金边大使馆星期三(10月7日)发布的美国国务院声明说：“这样的军事存在将对美-柬关系造成负面影响，并干扰和破坏印度-太平洋地区的稳定... 
"
中国央视宣布重新开始转播NBA比赛
",中国中央电视台宣布重新开始转播美国职业篮球联盟NBA的比赛
"
反制解放军武吓 台湾海军在西南外海实施“空层空域”操演
",他解读，美国的“意思就是说，一旦中国对台湾有军事上的冒进行动，美国会派遣海、空力量之外，也会把地面部队，派来台湾协助... 他说，依照美国的战争法典，美国总统本来就有90天的战争发动权;而美国国会正在审议中的“台湾防卫法”未来还会正式终结其战略模糊的政策，进一步责成美国总统，要确保美国履行“台湾关系法”义务，维持美军阻止中国武力犯台、造成既成事实的能力... 
"
中国央视宣布重新开始转播NBA比赛
",中国中央电视台宣布重新开始转播美国职业篮球联盟NBA的比赛... 第一场转播的赛事将是美国时间周五晚间举行的总决赛第五场... 由于洛杉矶湖人队目前以大比分3比1领先对手迈阿密热火队，这很有可能是NBA本赛季的最后一场比赛... 据美国体育频道ESPN报道，央视以NBA对... 一年前，由于休斯顿火箭队经理莫雷对香港的反送中运动表达支持，中国官方决定停止自90年代初就开始的NBA赛事转播... 
"
美国政府对法庭暂停特朗普TikTok禁令的判决提起上诉
","美国政府周四对法院裁决提出上诉，该裁决暂停了特朗普当局对中国视频分享应用TikTok的禁令... 该上诉提交至华盛顿特区巡回上诉法院... 稍早前，律师杰弗里·洛维茨基（Jeffrey Lovitky）提交了支持TikTok母公司字节跳动(ByteDance)的文件，要求法官永久停止特朗普对该应用... 商务部在一份声明中表示：""（行政命令）完全符合法律，促进正当的国家安全利益"
"
焦点对话： 彭斯、哈里斯激辩中国议题 第二轮总统辩论恐破局？
",哈里斯批评特朗普“打输了”美中贸易战，彭斯则炮轰拜登是“共产中国的啦啦队长... 美国威尔逊中心基辛格中美关系研究所主任戴博(Robert Daly)认为，彭斯与哈里斯的副总统辩论与之前特朗普和拜登的首场总统辩论相比基本上中规中矩，两人的表现也可以说是平分秋色... 但威尔逊中心基辛格中美关系研究所主任戴博表示，总统辩论并没有固定的规则，但的确再进行辩论将对拜登不利... 
"
焦点对话(重播)
",焦点对话(2020年10月9日) 彭斯、哈里斯激辩中国议题 第二轮总统辩论恐破局？嘉宾：美国威尔逊中心基辛格中美关系研究所主任戴博；政论作家陈破空 主持人：樊冬宁
"

VOA卫视-焦点对话
",焦点对话(2020年10月9日) 彭斯、哈里斯激辩中国议题 第二轮总统辩论恐破局？嘉宾：美国威尔逊中心基辛格中美关系研究所主任戴博；政论作家陈破空 主持人：樊冬宁
"
焦点对话：彭斯、哈里斯激辩中国议题 第二轮总统辩论恐破局？
","距离美国2020总统大选投票日只剩下20几天，在特朗普总统染疫以及第二轮总统辩论可能破局的情况之下，唯一一场副总统候选人辩论格外受瞩目。代表共和党的现任副总统彭斯跟民主党对手哈里斯，在新冠病毒疫情、对华政策立场以及大法官任命等多个议题上针锋相对。哈里斯批评特朗普""打输了""美中贸易战，彭斯则炮轰拜登是""共产中国的啦啦队长""。这场被认为是历来最重要的一场副手辩论，究竟是谁的表现略胜一筹？接下来到投票日之前，还会出现哪些戏剧化的""十月惊奇""？ ""焦点对话""请美国威尔逊中心基辛格中美关系研究所主任戴博(Robert Daily)与政论作家陈破空交流不同观点。"
"
“庆贺粉”对特朗普染疫幸灾乐祸，凸显中国需要人性启蒙
",博士告诉美国之音，中国社会出现的这种叫好和幸灾乐祸，与911事件后很多中国人的欢呼如出一辙；在这些拍手称快的民众看来，911中的美国人和疫情中的特朗普都是“活该”和“罪有应得”的... 文化学者、中国前资深媒体人 凌沧洲 认为，随着新冠疫情导致美中紧张大步升级，从中国外交官公开的“美军带毒”论，党控媒体总编的“千枚核弹”论，到民间的“毁灭地球对付美国”论，都在中国... 
"
时事经纬(2020年10月9日) - 叶望辉：拜登是建制派对华绥靖政策典型代表； 中国新冠疫苗试验信息不透明，难入西方市场
",时事经纬(2020年10月9日): 1/美国总统大选副总统辩论结束，谁是赢家众说纷纭。两名候选人的政策表述和表现是否有左右选情的力度？ 2/分析人士认为，美中之间早已陷入冷战，新冠疫情大流行的问责也让西方盟国站到中国的敌对面； 3/印度开通全球最长的高山隧道，直通印中边界的冲突地区。印度加速建设边境基础设施也成为与北京紧张关系加剧的原因之一。
"
特朗普：我要我们的军队回家，为中国、俄罗斯等做好准备
","美国总统特朗普星期四（10月8日）说，他要撤出美国驻在阿富汗的... 你知道，就在我们说这个话的时候，他们正在回家,”他在与主持人玛丽亚·巴蒂罗姆（Maria Bartiromo）进行的访谈中说... 他在星期四的这次采访中还谈到美中之间的贸易战... 在何时撤出驻阿富汗美军的问题上，特朗普星期三在一则推文中说，“我们应该在圣诞节前让仍然在阿富汗服役的为数不多的勇敢的男女军人回家... "
"
专访美国务院反外国虚假信息高官：外国恶意行为者试图破坏美国民主与选举
",美国国务院负责对抗外国宣传虚假信息的特使利亚·加布里埃尔星期三(10月7日)接受了美国之音常驻美国国务院记者张蓉湘的专访。随着11月3日美国大选临近，加布里埃尔说，外国恶意行为者通过故意散播不实信息，试图破坏民主价值与民主选举。
"
专访联邦众议员赵美心：“我对中国人权问题深感忧虑”
",美国国会民主党联邦众议员赵美心... 距离美国总统和国会选举不到一个月的时间，赵美心也在访谈中探讨了亚裔美国人在美国政治圈中不断增长的影响力，以及华裔美国人从政所面临的挑战... 显然，很多人对于世卫组织在这次大流行病疫情中所扮演的角色表示担忧，但您认为美国应该采取什么最紧急的工作来和其他国家合作，共同解决大流行病造成的危机... 记者：我最后一个问题想谈谈比较广泛的美中关系... 
"
美国取消香港特殊待遇，港人再无抽签移民资格
",在这次的抽签计划中，美方将香港列入中国的一部分，香港人因此不再有资格参加抽签绿卡计划... 在昨天发布的计划公告中，澳门或台湾出生的居民仍然符合抽签资格... Status），并在移民政策类别上将香港独立于中国大陆的移民，同时推动国际合作为香港提供难民地位的保护，尤其是那些在抗议活动中发挥重要作用的人，并加速处理遭到政治迫害的香港人... 
"
前北约秘书长: 四方会谈是筹组亚洲版北约的起点
","（图片来源：财团法人台湾亚洲交流基金会）
透过视讯，拉斯穆森在台北举行的“2020年玉山论坛”之场边记者会中接受美国之音提问时表示，北约组织的成立宗旨在避战... 丁树范说，除非美中撕破脸，否则台湾不可能正式参与四方会谈，但很可能透过美国的关系，在情报、情势研判和军事等方面有些许的参与程度，因为各国会优先考虑其与中国的关系，才来决定他们如何跟台湾往来... "
"
美军机台湾海峡航线引热议：再画“台海中线”给中共看？
",据台湾媒体报道，美国空军一架军机周四（10月8日）上午穿越台湾海峡... 有飞行爱好者对飞机的飞行线路进行了分析指出，这架军机是在执行一次特殊任务：给中国画线，要求它尊重台海两岸坚守数十年的“中线... 据台湾军方统计，到目前为止，已有中共军机217架次侵入台湾西南防空识别区，另有49架次的军机飞越台海中线... 中国军机持续多次扰台，美议员：该做出具体承诺防卫台湾了
"
时事大家谈: 蓬佩奥联日印澳抗衡中国，实现“亚洲小北约”有多远？
",美中日比较研究所高级研究员杨中美认为，蓬佩奥赴日本出席四方对话是希望抓住中国与美国、印度和澳大利亚关系紧张以及菅义伟刚刚出任日本首相的机遇，巩固美国与这三个重要印太国家的关系... 我觉得对他们来说只要在所谓的热战开始之前，就是所谓的美中事实上的一个军事冲突开始之前，或者是美中之间的关系已经降到了不能再降的地步，这个地方最有可能做谷底，真正的谷底其实是中美断交... 
"
美国对东南亚五国提供新援助以抗衡中国
",分析人士表示，美国官员希望东南亚的合作伙伴将更青睐美国而不是... 吴翁表示：“中美之间的竞争越激烈，湄公河区域就越重要... 具体而言，该伙伴关系将为五个东南亚国家带来美国新冠病毒大流行纾困救助，在今年已经提供的5200万美元基础上再追加600万美元，用于包括帮助湄公河国家做出涉及水流量明智决定的措施等项... 美国务卿启动湄公河伙伴关系并谴责中共威胁环境与经济自治(声明全文
"
习近平当局以肃杀姿态推出“十四五”规划
",中共当局隐匿疫情信息导致疫情成为世界性灾难也使中国跟美国原先就因贸易、技术和安全方面的分歧而紧张的关系更为紧张，导致特朗普政府高级官员称中共政权是全世界的威胁，特朗普总统本人则坚持称新型冠状病毒是“中国病毒... 观察家们注意到，反复表示尊崇毛泽东的当今中共领袖习近平在这方面跟毛泽东是亦步亦趋，甚至有过之而无不及... 
"
美警告中国不要对台动武 提醒台湾加强军备
",据路透社报道，奥布莱恩在位于拉斯维加斯的内华达大学的一场活动中谈到台海两岸关系时表示，中国正在进行大规模的海军建设，其势头等同于第一次世界大战中德国为了与英国皇家海军竞争所投入的资源... 中国军机持续多次扰台，美议员：该做出具体承诺防卫台湾了
"
美国副总统候选人辩论谈到中国，北京掐断电视直播信号
",备受关注的美国总统大选副总统候选人电视辩论星期三（10月7日... 她说，美国的对外关系中没有哪个比与中国的关系来得更复杂和产生更重大影响，比如中国是美国农产品的巨大市场，也是应对气候问题和朝鲜问题的潜在合作伙伴... 他说：“就彭斯来讲，他实际上还是答到了一些东西，哈里斯完全就是避重就轻，她对于中美之间目前为止的这个问题，跟问题本身的实质，她基本上都没有进入任何状况... 
"
中国军机持续多次扰台，美议员：该做出具体承诺防卫台湾了
",“这不需要修改‘台湾关系法’，不需要改变我们对所谓‘一中政策’的认知，也不会需要改变任何我们现有的外交关系，” 科顿说... 中国军机扰台频率大增 美议员：北京感受到统一台湾愈加遥远 中国解放军近几个月来在台湾海峡上空和海面军事行动频频... 台湾立法院推动“美台复交” 讨论案，无异议通过
"
英国考虑抵制2022年冬奥会 英美议员力推不让中国举办
",英国一位议员星期三（10月7日）在... 与此同时，美国联邦参议员里克·斯科特（Rick Scott）敦促参议院外交关系委员会通过他提出的呼吁国际奥委会不让中国举办2022年奥运会的决议，理由是维吾尔穆斯林受到了“严重的... 共和党籍的斯科特参议员在致参院外委会的一封信中说：“只要习近平总书记继续坚持这一无法辩护的道路，共产中国绝对不应该获得举办2022年奥运会的奖励... 
"
国土安全部：中国是美国的长期战略威胁
",中国官员认为，美国州和地方官员享有一定程度的外交独立性，并可能利用这些关系在关系紧张时期推进符合中国利益的政策... 犯罪分子还会通过在第三方软件中插入恶意代码来对使用这一软件的公司进行攻击，从而破坏供应链... 报告也提及了中国违反美国贸易政策，并称尽管美中贸易谈判取得了进展，但中国犯罪组织的行动仍将是美国在未来一年执行贸易法律和政策时面临的主要挑战... 
"
中共党员拿不到绿卡，谁损失最大？
",美国移民局10月2日公布新的政策提要，表示禁止共产党员及... “这显然是美中关系持续恶化的一个体现，然而这不太可能显著削弱北京试图影响美国政策走向的努力”，他说，“因为大多数情况下，这不需要绿卡或美国护照，更多的是通过外交，经济胁迫和大外宣来... 研究中共的乔治华盛顿大学政治学教授狄忠蒲对华盛顿邮报说，在1989年后，人们更多的是为了自己的职业生涯更进一步而加入共产党... 
"
美台国防工业会议结束 一批对台军售正在通报国会前最后幕僚程序
",美国之音在记者会中问韩儒伯，台湾方面是否在会中提出所需武器清单，以及是否预期近期内美国会通报国会一批此前路透社曾报道过的，包括水雷和无人机等在内的对台军售案... 在台湾方面，国民党在第一天的会议结束后也在其脸书官网上贴出江启臣星期一在会中讲话的视频，并称江启臣“是首位获邀在该会议发表主题演讲的国民党主席，付诸‘实际行动’强化台美关系... 
"
时事大家谈: 中芯国际终遭制裁，中国芯片大跃进遇重挫？
",美中科技战会打到何时... 他说：“美国70%多的科研人员都是在企业里工作，所以它的科研成果能在私营企业中得到转变，而在中国，科研人员大多都在大学吃着大锅饭，甚至这种资源分配都是权力化，都是由官员决定，一切都是为官为上，结果就造成了巨大的浪费，而且存在着骗取经费，或者是科研经费靠关系拿到... 
"
中国攻台美国会协助？台国防部长：安全靠自己
",美国国务卿蓬佩奥日前... 台湾《自由时报》报道，中共军机从9月中至今持续袭扰台湾空域，台湾军机星期三清晨在西南空域进行广播驱离时，共机罕见回应称“台湾地区，请不要干扰我进行例行训练... 陈以信还指出，台美关系目前的进展，虽然对台湾的国防信心及能量有正面帮助，但是这不是百分之百的保证，更重要的是，政府在政策上要避战，让两岸关系重回和平稳定的局面，这才是国家安全最大的保证... 
"
五角大楼官员：美愿与台共同发展军事能力及供应链合作
",美国在台协会莫健(James Moriarty)在星期一的开幕仪式中发表讲话... 莫健表示，近来美国在许多公开演说和证词中都强调，“北京日益增加的威胁需要美台更紧密的合作以维持台湾的安全及地区的稳定... 最后莫健总结说，在这个高度不确定的时刻，台湾可以相信美国依然信守对实现《台湾关系法》在字面和内涵上的承诺，不仅是商务、文化及其他关系，同时也包括安全关系
"
39国在联合国谴责中国虐待维吾尔人并打压香港自治
",来自世界各地区39国的驻联合国外交官星期二（10月6日）批评中国侵犯维吾尔穆斯林的人权以及打压香港的自治... 北京则进行反击，将其愤怒集中在美国身上... “我们呼吁中国尊重人权，特别是宗教和民族少数族群人士的权利，尤其是在新疆和西藏，”德国常驻联合国代表克里斯托弗·霍伊斯根（Christoph Heusgen）在联合国大会处理社会、人道和文化事务的第三委员会上代表39个... 
"
美法官将在大选后一天就是否允许执行TikTok交易禁令举行听证
",一位美国法官星期二(10月6日)说，他将于11月4日就是否允许美国政府禁止与中国短视频分享平台抖音的海外版TikTok交易的问题举行听证... TikTok称，如果禁止交易等于是禁止在美国使用该平台... 华盛顿的联邦地区法院法官卡尔·尼古拉斯曾在9月27日发布临时禁制令，不准执行美国商务部下达的让苹果和谷歌应用店禁止新用户下载TikTok的命令... 商务部的命令定于... 
"
史密斯众议员：将在人权问题上持续对中国施压
",美国共和党联邦众议员克里斯·史密斯在日前接受美国之音专访时重申了国会制裁新疆强迫劳动的决心，并表示会在人权议题上保持对中国政府和其领导人习近平的压力。
"
史密斯众议员：将在人权问题上持续对中国施压
",美国共和党联邦众议员克里斯·史密斯在日前接受美国之音专访时重申了国会制裁新疆强迫劳动的决心，并表示会在... 在与美国之音的专访中，来自新泽西州的史密斯议员谈到了上个月国会刚刚通过的两部针对新疆强迫劳动现象的法案... 在与美国之音的专访中，他将习近平与正在白俄罗斯引发大规模抗议的总统卢卡申科做了类比，称独裁者在面对来自美国的制裁时，倾向于通过拖延来等待制裁的力度逐渐减弱... 
"
蓬佩奥访东京称赞四方会谈是对抗中国共产党的方式
","（2020年10月6日）
蓬佩奥在四方会谈开始之际说：“作为四方合作伙伴国，如今，比以往更为关键的是，我们要合作保护我们的人民和合作伙伴不受中共的利用、腐化和胁迫... 随着美中关系的恶化，特朗普政府帮助在2017年重振了四方会谈... 由彼此不同的经济利益结成的复杂关系网，再加上亚洲各国之间的竞争对立，让一些美国正式盟国甚至在美国和中国之间选边站都很难... "
"
香港民调指62%反对警方修改传媒定义 自由身记者谈国安法自我审查
","警方与传媒关系可能雪上加霜
杜耀明又表示，过去一年多反送中运动，记者采访的亲身经历反映，警方“认可”的传媒不等如免去问题，他预期警方与传媒的关系可能雪上加霜... 郑美姿说：“因为我平常作为一个自由身记者，我有时候会做采访，有时可能写专栏，所以其实我自己、我觉得我都有所谓的审查的，我有作出，即是有一些摆明很敏感，即是所谓红线的东西，其实我都会... "
"
染上新冠的特朗普是否会对中国更强硬？
",感染新冠病毒的特朗普总统星期二... 与此同时，美国卫生与公共服务部助理部长、公共卫生服务军官团上将布雷特·吉罗尔星期一在世界卫生组织的执行委员会的讲话中不点名地批评中国未能提供有关新冠疫情的准确、完整和及时的信息... 自特朗普执政以来，美国在经贸、人权、外交、科技和军事等几乎各个方面对中国采取强硬政策，美中关系近来因新冠疫情、香港、南中国海等议题关系持续紧张... 
"
中国“抄近道”，求世卫帮助推广中国尚未完成试验的疫苗
",在美中关系全面恶化的形势下，疫苗竞赛也显得相当激烈... 美国欧亚集团全球卫生项目主任斯科特·罗森斯坦（Scott Rosenstein）指出，在疫苗分发和人体接种的竞赛中获胜的一方将会取得一种战略助力，无论是中国还是其它任何国家... 罗森斯坦表示，中国一直都希望能够利用疫苗作为外交工具来改善与那些在疫情早期对中国行为感到不满的国家的关系，扩大中国的影响力... 
"
美日印澳外长：全面加强合作 对付中国威胁
",蓬佩奥在与澳大利亚外长佩恩的会谈中讨论了“中国在本地区进行的恶意活动”，并在四国通过磋商“推动印太地区和平、安全和繁荣的重要性”问题上达成了共识... 日本共同社报道，茂木敏充周二表示，他与蓬佩奥在会谈中就强化日美同盟达成一致... 蓬佩奥也就美日关系发表评论说“日美关系是地区安全、和平的基础... 蓬佩奥称菅义伟是一位“非常强有力的人物，必将在美日关系中继续发挥重要作用... 
"
中概股回归是否意味美中金融脱钩？
",近日，两家在美国上市的中国互联网企业将退出美股的消息和围绕几家企业将在沪港上市的高调报道形成鲜明对比。一段时间以来有关中概股回归的谈论也显现出较为明晰的趋势。美中紧张关系不断升级，监管机构更严格的会计审查，中概股企业的的回归是否意味着美中脱钩已经扩大到金融领域？
"
中概股回归中国是否意味美中金融脱钩？
","分析认为，促使这两家中概股公司做出私有化决定的原因中，也包括美中关系恶化后，中概股公司面临的风险... 中概股因美国加强审查面临摘牌危险
据华尔街日报报道，阿里巴巴和其他一些在香港二次上市的中概股公司在监管公告中指出，中国公司在美国受到的审查加重，并且面临被摘牌或被排除在美国资本市场之外的风险... "
"
台湾立法院推动“台美复交” 讨论案，无异议通过
",该讨论案文件中直指，“美台关系突飞猛进，外交部对美应积极寻求全面的外交关系... 苏贞昌强调：“我们会继续努力，增强跟美国的关系，关系改善也要一步一步来... 台湾外交部发言人欧江安星期二在例行记者会针对“台美复交”议题回应，她仅说：“外交部将持续在政治、台湾国际参与、经济贸易、以及安全等各层面，深化台美双边关系，以符合我国国会对台美关系的期待... 
"
习近平承诺2060碳中和目标后 美中互批对方污染全球环境
","美中在环保问题上相互指责
中国国家习近平主席9月22日在联合国大会发言时宣布，中国的二氧化碳排放力争于2030年前达到峰值，努力争取2060年前实现“碳中和... 美国霍普金斯大学国际关系学院能源、自然资源与环境研究助理教授聂佑宁（Jonas Nahm）说，中国需要通过植树造林和碳截存等形式，抵消自身产生的二氧化碳排放量，做到对大气净碳排放为... "
"
美台国防工业会议首日，台副防长盼与美加强军事合作应对中国挑战
",受到新冠疫情影响，由美台商会(US-Taiwan Business Council)主办的2020年美台国防工业会议，10月5、6日两天的会议改以视讯方式举行，台湾国防部军备副部长张冠群上将在星期一(10月5日)的开幕仪式中以“强化自我防卫能力，坚定捍卫自由民主”发表主旨讲话... 美台国防工业会议自2002年开始举行，是美台国防产业及官方交流互动的重要管道... 
"
蓬佩奥出席“四方会谈” 观察人士：凸显中国“没朋友”
",不同于中国鹰派的思维，朱峰在接受美国之音采访时表示，台湾不值得中国动武，一来因为中国人不打中国人，二来因为台湾亲美也不是今天才开始的... 不过，朱锋不认为，亚洲国家会乐见美中之间引发新冷战，因为他认为，这不利于亚太地区的安全、稳定和繁荣，而且亚洲国家间的利益各异，也都不希望被迫在中美之间站队，虽然，各国在面对中美关系可能加剧恶化时，也必须有所准备... 
"
美台国防工业会议在即 台湾将提急需武器清单
",今年原本轮到台湾主办，但由于新冠疫情... 据美台商会消息，这次会议将在两天活动中讨论双方的国防合作、国防采购程序，以及台湾国防及国家安全需求等，并为美台国防及国安方面人员提供交流机会... 国民党日前发布新闻表示，江启臣将在演讲中表达国民党坚定支持更加紧密的美台关系，并认为来自美国的军售对台湾的安全至关重要，但也应该高度关注大量向美国军购是否冲击民进党政府目前力推的... 
"
时移势易 美越捐弃前嫌密切合作应对中国威胁
",专家表示，华盛顿的军控代表访问了在50年前跟... 位于夏威夷的亚太安全研究中心教授亚历山大·吴翁（Alexander Vuving）说：“我们知道，美国看到了越南在亚洲潜在的战略地位，这种战略地位随着美中竞争的发展而日益明显... 东京国际基督教大学政治与国际关系系副教授斯蒂芬·纳吉（Stephen Nagy）说，美国代表现在认为，越南是遏制中国扩张的“必不可少的”一环... 
"
时事大家谈： 特朗普确诊习近平祝福来迟，北京反应耐人寻味？
",美国总统特朗普罹患新冠肺炎，包括... 只是他考虑到现在美中关系很僵，特朗普还老是在指责中国把病毒传到全世界... 北京外国语大学国际新闻与传播学院教授展江认为，习近平对特朗普的慰问电发的不及时、措辞冷淡与目前美中关系紧张有直接关系... 他说：“如果中美关系像几个月以前、半年以前那样的话，那慰问电会发得更早、慰问的成分更多，所以现在主要的因素还是中美关系变差，变差以后是这样的... 
"
时事大家谈： 特朗普确诊习近平祝福来迟，北京反应耐人寻味？
",美国总统特朗普罹患新冠肺炎，包括普京、金正恩在内的各国领导人纷纷及时致电慰问，习近平星期天晚上终于打破沉默，送上迟来的祝福。于此同时，中共官媒反应谨慎，与民间爱国舆论的狂欢形成鲜明对照，当局还严格管控网上赞誉和非议特朗普的过激言论。美中关系不断恶化之际，美国总统感染了他经常痛斥的“中国病毒”，这对中国意味着什么？对美中关系有什么进一步影响？官媒出言谨慎，最高领导人反应矜持，凸显了习近平的倨傲还是北京的进退失据？
"
面对疫情后的挑战，习近平谈古论今 意欲何为？
",中共总书记习近平9月28日在中共中央政治局第23次集体学习上，提出要努力建设中国特色、中国风格、中国气派的考古学... 目前，中共当局正面临多方面的各种问题和挑战，从国际社会呼吁对源自中国的新冠病毒疫情进行独立的调查，到美中关系、加中关系、澳中关系、印中关系的紧张；从新疆新建再教育营，拆除大量清真寺、西藏强迫农牧民劳动、内蒙古推行双语教育，到打压异议人士，控制... 
"
游锡堃: 希望特朗普早日康复 继续领导世界对抗中国
",在星期一举行的台湾庆祝中华民国109年的国庆日记者会上... 游锡堃星期一说，新冠肺炎疫情全球肆虐，全球各民主国家抗疫很辛苦，但中国网路一片欢腾，中共借这个机会宣扬他们已经控制疫情，具中国特色社会主义有优势，民主政治有缺陷... 美国特朗普政府把对抗中国作为主要的政策方针，美中在贸易、人权、港版国安法、新冠病毒以及新疆维吾尔穆斯林等问题上冲突不断，美中关系跌到历史最低点... 
"
蓬佩奥已前往东京出席四方外长会谈 盼有“重大宣布”
",美国国务卿蓬佩奥已经启程前往日本访问... 在美中关系不断恶化之时，他这次亚洲之行原本还会包括访问蒙古和韩国，但是在总统特朗普被确诊感染新冠病毒住院后，蓬佩奥缩短了行程，只保留了访问日本的部分... 美国国务院10月3日表示，蓬佩奥10月4日至6日访问东京期间，将出席美、日、澳大利亚与印度的四国外长会议，主要讨论印太地区紧迫的议题... 蓬佩奥星期天（2020年10月4日）启程... 
"
美国务院谴责香港“十一”80多人遭任意逮捕
",香港警方10月1日拘捕了至少86... 美国针对港版国安发对香港采取反制措施，包括终止与香港有关移交逃犯、移交被判刑人员，以及豁免国际船运利得税共三项双边协议，并制裁了包括港首林郑月娥在内的11名中港官员... 对于美国国务卿蓬佩奥曾表示，美国考虑欢迎港人到美国避难；中国外交部回应说，香港事务纯属中国内政，不容任何外国干涉，希望美国多做有利于香港稳定繁荣和中美关系发展的事
"
美国国务卿蓬佩奥缩短访问亚洲行程
",蓬佩奥此次东亚之行是他一年多来首次访问这个地区，而且正值美中关系恶化到几十年来的最低点... 中国当局规定从9月1日起，内蒙古地区中小学教学科目包括历史、政治和语言，以普通话授课，把蒙古语从核心课程中移除... 蒙古新闻网站Ikon.mn 9月26日报道说，中国大使馆已经给额勒贝格道尔吉回信，中国驻蒙古大使柴文睿在回信中驳斥了其错误观点，中方不予接受，并退回了他的信件... 
"
海峡论谈：特朗普染疫 美中关系添变数；港台""双输"" 习近平权力真稳固吗？
","特朗普总统在十一当天感染新冠肺炎入院，中共总书记习近平虽致电慰问，但中国官媒与网民幸灾乐祸的言论是否将使美中关系雪上加霜？对美国总统大选、美台、美港关系与世界局势又会造成什么影响？另一方面，中共在五中全会前夕不断加强对台港两地的恐吓与打压，是否反而凸显习近平对世界局势的误判与束手无策？港台政策""双输""是否会成为习近平党内权力斗争的死穴？海峡论谈请香港公民党主席梁家杰与台湾信民两岸研究协会理事长黄清龙深入分析。"
"
美发布新移民政策指南 明确规定禁止共产党员移民美国
",今年以来，美中两国在贸易战、新冠病毒疫情、华为、香港等问题上的矛盾争端步步升级，加上近年许多中国学者和留学生窃取美国科技机密的间谍案出现，迫使美国推出一系列制裁措施，其中包括逐步收紧针对特定人员及留学生的赴美签证... 
"
加拿大海军护卫舰航经台湾海峡
",台湾国防部星期六表示，一艘加拿大海军的护卫舰，从南中国海经台湾海峡后继续向北航行... 在美中关系近年日趋紧张之际，美国海军战舰也频繁航经台湾海峡... 同时，台湾国防部10月3日晚在官网“即时军事动态”的专区，发布中共解放军军机的相关动态资讯... 这是中共解放军自9月16日以来，第10度扰台... 当时，美国国务次卿克拉奇9月17日访问台湾，成为美台断交后访台的最高级别的国务院官员... 
"
美农业部长：无法确定中国能否兑现农产品的采购承诺
",美国农业部长珀杜（Sonny Perdue）星期五（10月2日）表示，由于“非农业的贸易问题”，中国可能无法兑现美中第一阶段贸易协定对美国农产品的年度采购承诺... 非农业的贸易问题妨碍了... 今年进口价值365亿美元的美国农产品，但今年上半年的采购数额严重欠缺，让人怀疑中国是否能够落实对美中贸易协议的承诺，实现将美国农产品的采购水平在2017年的基础上增加50%的目标... 
"
美司法部对法官暂停执行微信禁令的裁决提出上诉
",美国司法部星期五（10月2日）表示正在对一名法官阻止政府禁止苹果和谷歌允许中国公司拥有的微信海外版WeChat在美国应用店下载的决定提出上诉... 美国政府表示，它正在就旧金山联邦地区法院治安法官劳蕾尔·比勒（Laurel Beeler）9月19日下达的临时禁制令向联邦第九巡回上诉法院提出上诉... 司法部早些时候已表示... 这位法官在裁决中写道，“政府全面的安全利益固然重要... 
